Title,URL,Upvotes
Apple introduces end-to-end encryption for backups,https://support.apple.com/en-us/HT202303#advanced,853
I don’t want to be an internet person,https://www.palladiummag.com/2022/11/04/i-do-not-want-to-be-an-internet-person/,450
Chris Seaton has died,https://twitter.com/flavorjones/status/1600436490885947393,433
Apple GPU drivers now in Asahi Linux,https://asahilinux.org/2022/12/gpu-drivers-now-in-asahi-linux/,757
Caterpillar offers phone with built-in FLIR camera,https://www.catphones.com/en-us/cat-s62-pro-smartphone/,407
Show HN: Port of OpenAI's Whisper model in C/C++,https://github.com/ggerganov/whisper.cpp,348
Open-source hospital price transparency,https://www.dolthub.com/blog/2022-12-02-open-source-hospital-price-transparency/,626
Boeing’s last 747 is rolling out of the factory,https://www.cnbc.com/2022/12/06/boeing-747-production-is-ending-with-shift-to-twin-engine-jets.html,287
CS 007: Personal Finance for Engineers,https://cs007.blog/,243
Mac OS 9,https://macos9.app/,937
OpenAI quietly launched Whisper V2 in a GitHub commit,https://github.com/openai/whisper/commit/4179ed2475cc84cba66868b516232ef1b74dacdf,321
VSCode remote code execution advisory,https://github.com/google/security-research/security/advisories/GHSA-pw56-c55x-cm9m,319
